"","date","AAPL","MSFT","NVDA","C","GS","JPM","DIS","NFLX","AMZN"
"1",2014-08-25,25.3850002288818,45.1699981689453,4.77750015258789,51.6300010681152,177.869995117188,59.3400001525879,90.379997253418,68.7042846679688,16.701000213623
"2",2014-08-26,25.2224998474121,45.0099983215332,4.86250019073486,52.1300010681152,177.899993896484,59.7400016784668,90.0199966430664,68.4800033569336,17.0914993286133
"3",2014-08-27,25.5324993133545,44.8699989318848,4.80749988555908,51.8600006103516,177.809997558594,59.5900001525879,90.370002746582,67.8142852783203,17.1590003967285
"4",2014-08-28,25.5625,44.8800010681152,4.84749984741211,51.3899993896484,177.649993896484,59.1599998474121,90.2300033569336,67.8871459960938,17.0009994506836
"5",2014-08-29,25.625,45.4300003051758,4.86250019073486,51.6500015258789,179.110000610352,59.4500007629395,89.879997253418,68.2342834472656,16.9519996643066
"6",2014-09-02,25.8250007629395,45.0900001525879,4.875,51.9599990844727,179.770004272461,59.6699981689453,90.8000030517578,68.0857162475586,17.1189994812012
"7",2014-09-03,24.7350006103516,44.9599990844727,4.92000007629395,52.2299995422363,179.600006103516,59.7000007629395,90.9400024414062,68.1985702514648,16.9500007629395
"8",2014-09-04,24.5300006866455,45.2599983215332,5.00750017166138,52.4700012207031,180.080001831055,59.7099990844727,90.1399993896484,67.524284362793,17.2975006103516
"9",2014-09-05,24.7425003051758,45.9099998474121,4.99249982833862,52.2999992370605,179.75,59.9099998474121,90.9400024414062,67.9542846679688,17.3190002441406
"10",2014-09-08,24.5900001525879,46.4700012207031,4.94750022888184,52.0499992370605,180.110000610352,59.8899993896484,90.5599975585938,68.475715637207,17.117000579834
"11",2014-09-09,24.4974994659424,46.7599983215332,4.88500022888184,51.2599983215332,177.399993896484,59.060001373291,89.5999984741211,68.4300003051758,16.4874992370605
"12",2014-09-10,25.25,46.8400001525879,4.90250015258789,51.8300018310547,179.869995117188,59.2200012207031,89.5199966430664,69.1985702514648,16.566499710083
"13",2014-09-11,25.3575000762939,47,4.85249996185303,52.2299995422363,181,59.7599983215332,89.9700012207031,68.7942886352539,16.5259990692139
"14",2014-09-12,25.4150009155273,46.7000007629395,4.78000020980835,52.3800010681152,183.169998168945,60.0299987792969,89.6699981689453,68.0785675048828,16.5594997406006
"15",2014-09-15,25.4074993133545,46.2400016784668,4.71500015258789,52.310001373291,183.979995727539,59.939998626709,90.0800018310547,65.3928604125977,16.1944999694824
"16",2014-09-16,25.2150001525879,46.7599983215332,4.78499984741211,52.3600006103516,184.039993286133,59.9900016784668,90.2699966430664,65.2728576660156,16.3880004882812
"17",2014-09-17,25.3950004577637,46.5200004577637,4.78749990463257,52.3899993896484,184.820007324219,60.310001373291,90.3300018310547,64.9328536987305,16.2000007629395
"18",2014-09-18,25.4475002288818,46.6800003051758,4.8600001335144,53.6599998474121,187.889999389648,61.3199996948242,90.3399963378906,65.5728607177734,16.25
"19",2014-09-19,25.2399997711182,47.5200004577637,4.76999998092651,53.4799995422363,186.199996948242,61.1100006103516,90.4899978637695,65.3600006103516,16.5659999847412
"20",2014-09-22,25.2649993896484,47.060001373291,4.72249984741211,53.0400009155273,185.289993286133,60.9099998474121,89.2900009155273,63.2542877197266,16.2250003814697
"21",2014-09-23,25.6599998474121,46.560001373291,4.7024998664856,52.8400001525879,185.089996337891,60.939998626709,88.3099975585938,63.4142875671387,16.1814994812012
"22",2014-09-24,25.4375,47.0800018310547,4.73000001907349,53.2599983215332,187.809997558594,61.6300010681152,89.4499969482422,64.3657150268555,16.4104995727539
"23",2014-09-25,24.4675006866455,46.0400009155273,4.62750005722046,51.9599990844727,184.089996337891,60.1500015258789,88.0699996948242,63.355712890625,16.0965003967285
"24",2014-09-26,25.1875,46.4099998474121,4.63749980926514,52.4900016784668,185.119995117188,60.560001373291,88.7399978637695,64.1071395874023,16.1604995727539
"25",2014-09-29,25.0275001525879,46.439998626709,4.63000011444092,52.0499992370605,183.830001831055,60.3300018310547,88.8300018310547,64.2228546142578,16.0909996032715
"26",2014-09-30,25.1875,46.3600006103516,4.61250019073486,51.8199996948242,183.570007324219,60.2400016784668,89.0299987792969,64.4542846679688,16.1219997406006
"27",2014-10-01,24.7950000762939,45.9000015258789,4.56750011444092,51.0999984741211,180.699996948242,59.7700004577637,87.4899978637695,62.6857147216797,15.8730001449585
"28",2014-10-02,24.9750003814697,45.7599983215332,4.5475001335144,51.25,182.880004882812,58.8400001525879,86.7900009155273,64.2828598022461,15.9204998016357
"29",2014-10-03,24.9050006866455,46.0900001525879,4.55749988555908,52.3199996948242,188.070007324219,60.2999992370605,88.4499969482422,65.648567199707,16.136999130249
"30",2014-10-06,24.9050006866455,46.0900001525879,4.53000020980835,52.2799987792969,187.479995727539,60.1800003051758,88.5599975585938,66.21142578125,16.1100006103516
"31",2014-10-07,24.6875,45.5299987792969,4.48250007629395,51.2700004577637,183.800003051758,59.2700004577637,87.1100006103516,65.1785736083984,15.8489999771118
"32",2014-10-08,25.2000007629395,46.7799987792969,4.56500005722046,52.5400009155273,186.639999389648,60.4000015258789,88.1100006103516,66.6942825317383,16.1350002288818
"33",2014-10-09,25.2549991607666,45.8499984741211,4.47749996185303,51.1399993896484,181.270004272461,59.0800018310547,85.7099990844727,65.9457168579102,15.768500328064
"34",2014-10-10,25.1825008392334,44.0299987792969,4.21250009536743,50.1100006103516,180.380004882812,58.5200004577637,86.2699966430664,64.5828552246094,15.5694999694824
