"","dvine","cvine","rvine"
"AIC",-12426.5394833535,-12283.7322841562,-12385.2480721797
"BIC",-12112.5261235177,-11936.0746357665,-12048.8051866413
"Log.likelihood",6269.26974167677,6203.86614207808,6252.62403608986
