"","normal","t","frank","clayton","gumbel"
"AIC",-11138.7499014372,-12073.2486332497,-5479.48197367822,-6240.94951010142,-5732.27008987267
"BIC",-10936.8841701141,-11865.7755205011,-5473.87459225258,-6235.34212867578,-5726.66270844703
"Log.likelihood",5605.37495071858,6073.62431662486,2740.74098683911,3121.47475505071,2867.13504493634
