"","normal","t","cauchy","logistic"
"AAPL",-10360.2591617804,-10717.6208912166,-10401.187614041,-10646.8292885646
"MSFT",-10622.0788420208,-11025.2903067556,-10798.3873104159,-10992.5745729034
"NVDA",-8493.93432841708,-8891.30069581553,-8583.08754404087,-8810.77676582326
"C",-9732.94965267722,-10446.1595386198,-10165.8543528195,-10266.6744846356
"GS",-10327.0980224492,-10768.3263295876,-10395.0508893112,-10689.8167839647
"JPM",-10504.7278646526,-11106.3365966612,-10810.8322541065,-10970.456980215
"DIS",-10680.0021274016,-11310.0324792623,-11106.9065178861,-11187.5848745608
"NFLX",-8543.0783330348,-9246.26359076338,-8934.36026789513,-9104.71151967464
"AMZN",-9966.59992956123,-10433.4871087907,-10138.1201131888,-10320.1915861526
