"","normal","t","cauchy","logistic"
"AAPL",-10371.4739246317,-10734.4430354936,-10412.4023768923,-10658.0440514159
"MSFT",-10633.2936048721,-11042.1124510326,-10809.6020732672,-11003.7893357547
"NVDA",-8505.14909126836,-8908.12284009245,-8594.30230689215,-8821.99152867454
"C",-9744.1644155285,-10462.9816828967,-10177.0691156708,-10277.8892474869
"GS",-10338.3127853005,-10785.1484738645,-10406.2656521625,-10701.0315468159
"JPM",-10515.9426275039,-11123.1587409381,-10822.0470169578,-10981.6717430663
"DIS",-10691.2168902529,-11326.8546235392,-11118.1212807374,-11198.7996374121
"NFLX",-8554.29309588608,-9263.08573504029,-8945.57503074641,-9115.92628252592
"ACGL",-10748.4255823154,-11589.0238921281,-11406.0712188989,-11390.6558667117
