"","normal","t","cauchy","logistic"
"AAPL",5187.73696231584,5370.22151774678,5208.20118844614,5331.02202570795
"MSFT",5318.64680243606,5524.05622551628,5406.80103663361,5503.89466787735
"NVDA",4254.57454563418,4457.06142004622,4299.15115344608,4412.99576433727
"C",4874.08220776425,5234.49084144834,5090.53455783539,5140.94462374346
"GS",5171.15639265026,5395.57423693227,5205.13282608125,5352.51577340797
"JPM",5259.97131375195,5564.57937046905,5413.02350847888,5492.83587153316
"DIS",5347.60844512645,5666.4273117696,5561.06064036869,5601.39981870604
"NFLX",4279.14654794304,4634.54286752015,4474.7875153732,4559.96314126296
"ACGL",5376.21279115771,5797.51194606405,5705.03560944945,5697.32793335584
