"","normal","t","cauchy","logistic"
"AAPL",-10360.2591537622,-10717.6208685325,-10401.1876371442,-10646.8292645292
"MSFT",-10622.0788958656,-11025.2839128866,-10798.3873829539,-10992.5746337844
"NVDA",-8493.93436959479,-8891.30090894264,-8583.08760764493,-8810.77682072285
"C",-9732.94960271831,-10446.1595304632,-10165.854376451,-10266.6744585516
"GS",-10327.0980317619,-10768.3263308044,-10395.0508941685,-10689.8167868524
"JPM",-10504.7278687547,-11106.3366487728,-10810.8323593716,-10970.4570134393
"DIS",-10680.0020834496,-11310.033161941,-11106.9064143516,-11187.5848136821
"NFLX",-8543.07831005853,-9246.26356539805,-8934.36023620057,-9104.71149678988
"TWTR",-7981.79510725321,-8645.68731031025,-8369.15068050147,-8471.74520777819
